year,city,region,n,pop
2000,Memphis,South,19,650100
2000,Mesa,West,46,396375
2000,Minneapolis,Midwest,46,382618
2000,New York,Northeast,400,8008278
2000,Philadelphia,Northeast,53,1517550
2000,Phoenix,West,148,1321045
2000,Pittsburgh,Northeast,25,334563
2000,Portland,Midwest,1,529121
2000,Portland,Northeast,8,529121
2000,Portland,West,32,529121
2000,San Diego,West,139,1223400
2000,San Francisco,West,141,776733
2000,San Jose,West,38,894943
2000,Seattle,West,21,563374
2000,Taylor,Midwest,1,65868
2000,Tulsa,South,10,393049
2000,Washington,Midwest,1,572059
2000,Washington,Northeast,4,572059
2000,Washington,South,5,572059
2000,Wichita,Midwest,43,344284
2001,Boston,Northeast,212,592334.3
2001,Chicago,Midwest,103,2876167.3000000017
2001,Cincinnati,Midwest,49,327842
2001,Cleveland,Midwest,61,470149
2001,Columbus,Midwest,78,719412
2001,Dallas,South,29,1189761
2001,Denver,West,16,559506
2001,Detroit,Midwest,1,927255
2001,Eugene,West,45,139769
2001,Flint,Midwest,3,122652
2001,Grand Rapids,Midwest,5,196823
2001,Houston,South,56,1968108
2001,Indianapolis,Midwest,10,785834
2001,Kansas City,Midwest,7,443466
2001,Keansburg,Northeast,1,10667
2001,Las Vegas Metropolitan Police Department,West,68,489053
2001,Lincoln,Midwest,18,228949
2001,Lincoln,Northeast,2,228949
2001,Lincoln,West,1,228949
2001,Los Angeles,West,559,3704875
2001,Memphis,South,29,650320
2001,Mesa,West,87,400837
2001,Milwaukee,Midwest,3,596762
2001,Minneapolis,Midwest,73,382662
2001,New York,Northeast,321,8026483
2001,Philadelphia,Northeast,48,1518627
2001,Phoenix,West,154,1333870
2001,Pittsburgh,Northeast,26,331645
2001,Portland,Northeast,10,534748
2001,Portland,West,104,534748
2001,San Diego,West,154,1231657
2001,San Francisco,West,164,779612
2001,San Jose,West,62,900897
2001,Seattle,West,27,568096
2001,St. Louis,Midwest,25,345301
2001,Taylor,Midwest,1,65583
2001,Tulsa,South,9,392988
2001,Washington,Northeast,1,575358
2001,Washington,South,11,575358
2001,Wichita,Midwest,52,348130
2002,Boston,Northeast,133,595527.6
2002,Chicago,Midwest,52,2856318.6000000015
2002,Cincinnati,Midwest,9,324397
2002,Cleveland,Midwest,37,461898
2002,Columbus,Midwest,72,727359
2002,Dallas,South,47,1190940
2002,Denver,West,3,564378
2002,Detroit,Midwest,3,903240
2002,Eugene,West,3,141631
2002,Flint,Midwest,2,120357
2002,Grand Rapids,Midwest,8,195843
2002,Houston,South,66,1982590
2002,Indianapolis,Midwest,13,789803
2002,Kansas City,Midwest,5,445385
2002,Las Vegas Metropolitan Police Department,West,45,499670
2002,Lincoln,Midwest,23,232317
2002,Lincoln,Northeast,1,232317
2002,Los Angeles,West,354,3714930
2002,Memphis,South,19,650541
2002,Mesa,West,27,405299
2002,Milwaukee,Midwest,1,596553
2002,Minneapolis,Midwest,50,382707
2002,New York,Northeast,291,8044691
2002,Philadelphia,Northeast,45,1519701
2002,Phoenix,West,107,1346695
2002,Pittsburgh,Northeast,7,328730
2002,Portland,Midwest,1,540380
2002,Portland,Northeast,16,540380
2002,Portland,West,10,540380
2002,San Diego,West,85,1239914
2002,San Francisco,West,180,782494
2002,San Jose,West,49,906852
2002,Seattle,West,17,572823
2002,St. Louis,Midwest,20,342414
2002,Tulsa,South,18,392925
2002,Washington,Midwest,1,578661
2002,Washington,South,11,578661
2002,Wichita,Midwest,28,351974
2003,Boston,Northeast,114,598720.9
2003,Chicago,Midwest,58,2836469.9000000013
2003,Cincinnati,Midwest,12,320952
2003,Cleveland,Midwest,23,453647
2003,Cleveland,South,3,453647
2003,Columbus,Midwest,50,735306
2003,Dallas,South,41,1192119
2003,Denver,West,6,569250
2003,Grand Rapids,Midwest,26,194863
2003,Houston,South,29,1997072
2003,Indianapolis,Midwest,8,793772
2003,Kansas City,Midwest,10,447304
2003,Keansburg,Northeast,4,10539
2003,Las Vegas Metropolitan Police Department,West,84,510287
2003,Lincoln,Midwest,15,235685
2003,Los Angeles,West,276,3724985
2003,Memphis,South,8,650762
2003,Mesa,West,45,409761
2003,Milwaukee,Midwest,2,596344
2003,Minneapolis,Midwest,43,382752
2003,New York,Northeast,291,8062899
2003,Philadelphia,Northeast,44,1520775
2003,Phoenix,West,100,1359520
2003,Pittsburgh,Northeast,15,325815
2003,Portland,Northeast,15,546012
2003,Portland,West,95,546012
2003,San Diego,West,84,1248171
2003,San Francisco,West,117,785376
2003,San Jose,West,31,912807
2003,Seattle,West,25,577550
2003,St. Louis,Midwest,7,339527
2003,Tulsa,South,4,392862
2003,Washington,Northeast,3,581964
2003,Washington,South,30,581964
2003,Wichita,Midwest,22,355818
2004,Boston,Northeast,101,601914.2
2004,Chicago,Midwest,54,2816621.200000001
2004,Cincinnati,Midwest,13,317507
2004,Cleveland,Midwest,39,445396
2004,Cleveland,South,6,445396
2004,Columbus,Midwest,127,743253
2004,Dallas,South,48,1193298
2004,Denver,West,7,574122
2004,Flint,Midwest,61,115767
2004,Grand Rapids,Midwest,65,193883
2004,Houston,South,14,2011554
2004,Indianapolis,Midwest,4,797741
2004,Kansas City,Midwest,2,449223
2004,Keansburg,Northeast,9,10475
2004,Las Vegas Metropolitan Police Department,West,71,520904
2004,Lincoln,Midwest,20,239053
2004,Los Angeles,West,244,3735040
2004,Memphis,South,1,650983
2004,Mesa,West,37,414223
2004,Milwaukee,Midwest,2,596135
2004,Minneapolis,Midwest,36,382797
2004,New York,Northeast,97,8081107
2004,Philadelphia,Northeast,14,1521849
2004,Phoenix,West,100,1372345
2004,Pittsburgh,Northeast,14,322900
2004,Portland,Midwest,1,551644
2004,Portland,Northeast,14,551644
2004,Portland,South,1,551644
2004,Portland,West,79,551644
2004,San Diego,West,50,1256428
2004,San Francisco,West,138,788258
2004,San Jose,West,15,918762
2004,Seattle,West,25,582277
2004,St. Louis,Midwest,11,336640
2004,Taylor,Midwest,1,64716
2004,Tulsa,South,11,392799
2004,Washington,South,44,585267
2004,Wichita,Midwest,20,359662
2005,Boston,Northeast,143,605107.5
2005,Chicago,Midwest,38,2796772.500000001
2005,Cincinnati,Midwest,6,314062
2005,Cleveland,Midwest,15,437145
2005,Cleveland,South,1,437145
2005,Columbus,Midwest,61,751200
2005,Dallas,South,45,1194477
2005,Denver,West,12,578994
2005,Detroit,Midwest,46,831195
2005,Flint,Midwest,60,113472
2005,Grand Rapids,Midwest,51,192903
2005,Houston,South,24,2026036
2005,Indianapolis,Midwest,6,801710
2005,Kansas City,Midwest,3,451142
2005,Keansburg,Northeast,19,10411
2005,Las Vegas Metropolitan Police Department,West,65,531521
2005,Lincoln,Midwest,20,242421
2005,Los Angeles,West,219,3745095
2005,Memphis,South,6,651204
2005,Mesa,West,52,418685
2005,Milwaukee,Midwest,11,595926
2005,Minneapolis,Midwest,28,382842
2005,New York,Northeast,249,8099315
2005,Philadelphia,Northeast,26,1522923
2005,Phoenix,West,34,1385170
2005,Pittsburgh,Northeast,2,319985
2005,Portland,Northeast,2,557276
2005,Portland,West,72,557276
2005,San Diego,West,41,1264685
2005,San Francisco,West,104,791140
2005,San Jose,West,22,924717
2005,Seattle,West,18,587004
2005,St. Louis,Midwest,15,333753
2005,Tulsa,South,2,392736
2005,Washington,Northeast,9,588570
2005,Washington,South,44,588570
2005,Wichita,Midwest,21,363506
2006,Boston,Northeast,146,608300.8
2006,Chicago,Midwest,33,2776923.8000000007
2006,Cincinnati,Midwest,3,310617
2006,Cleveland,Midwest,15,428894
2006,Cleveland,South,5,428894
2006,Columbus,Midwest,82,759147
2006,Dallas,South,39,1195656
2006,Denver,West,11,583866
2006,Detroit,Midwest,32,807180
2006,Flint,Midwest,18,111177
2006,Grand Rapids,Midwest,32,191923
2006,Houston,South,20,2040518
2006,Kansas City,Midwest,5,453061
2006,Keansburg,Northeast,27,10347
2006,Las Vegas Metropolitan Police Department,West,105,542138
2006,Lincoln,Midwest,36,245789
2006,Los Angeles,West,211,3755150
2006,Memphis,South,36,651425
2006,Mesa,West,23,423147
2006,Milwaukee,Midwest,45,595717
2006,New York,Northeast,273,8117523
2006,Philadelphia,Northeast,33,1523997
2006,Phoenix,West,60,1397995
2006,Pittsburgh,Northeast,6,317070
2006,Portland,Northeast,1,562908
2006,Portland,South,1,562908
2006,Portland,West,40,562908
2006,San Diego,West,55,1272942
2006,San Francisco,West,94,794022
2006,San Jose,West,29,930672
2006,Seattle,West,11,591731
2006,St. Louis,Midwest,8,330866
2006,Taylor,Midwest,45,64138
2006,Tulsa,South,5,392673
2006,Washington,Northeast,3,591873
2006,Washington,South,53,591873
2006,Washington,West,1,591873
2006,Wichita,Midwest,22,367350
2007,Boston,Northeast,164,611494.1
2007,Chicago,Midwest,37,2757075.1000000006
2007,Cincinnati,Midwest,7,307172
2007,Cleveland,Midwest,18,420643
2007,Cleveland,South,12,420643
2007,Columbus,Midwest,100,767094
2007,Dallas,South,23,1196835
2007,Denver,West,24,588738
2007,Detroit,Midwest,48,783165
2007,Flint,Midwest,34,108882
2007,Grand Rapids,Midwest,12,190943
2007,Houston,South,36,2055000
2007,Kansas City,Midwest,4,454980
2007,Keansburg,Northeast,35,10283
2007,Las Vegas Metropolitan Police Department,West,52,552755
2007,Lincoln,Midwest,22,249157
2007,Los Angeles,West,279,3765205
2007,Memphis,South,86,651646
2007,Mesa,West,9,427609
2007,Milwaukee,Midwest,26,595508
2007,Minneapolis,Midwest,45,382932
2007,New York,Northeast,295,8135731
2007,Philadelphia,Northeast,28,1525071
2007,Phoenix,West,80,1410820
2007,Pittsburgh,Northeast,5,314155
2007,Portland,Northeast,8,568540
2007,Portland,South,1,568540
2007,Portland,West,63,568540
2007,San Diego,West,52,1281199
2007,San Francisco,West,66,796904
2007,San Jose,West,34,936627
2007,Seattle,West,28,596458
2007,St. Louis,Midwest,21,327979
2007,Taylor,Midwest,14,63849
2007,Washington,Northeast,3,595176
2007,Washington,South,38,595176
2007,Washington,West,3,595176
2007,Wichita,Midwest,25,371194
2008,Boston,Northeast,161,614687.4
2008,Chicago,Midwest,31,2737226.4000000004
2008,Cincinnati,Midwest,7,303727
2008,Cleveland,Midwest,9,412392
2008,Cleveland,South,11,412392
2008,Columbus,Midwest,49,775041
2008,Dallas,South,17,1198014
2008,Dallas,West,1,1198014
2008,Denver,West,37,593610
2008,Detroit,Midwest,34,759150
2008,Eugene,West,23,152803
2008,Flint,Midwest,44,106587
2008,Grand Rapids,Midwest,28,189963
2008,Houston,South,28,2069482
2008,Kansas City,Midwest,12,456899
2008,Keansburg,Northeast,58,10219
2008,Las Vegas Metropolitan Police Department,West,84,563372
2008,Lincoln,Midwest,67,252525
2008,Lincoln,Northeast,1,252525
2008,Los Angeles,West,280,3775260
2008,Memphis,Midwest,1,651867
2008,Memphis,South,52,651867
2008,Mesa,West,13,432071
2008,Milwaukee,Midwest,30,595299
2008,Minneapolis,Midwest,28,382977
2008,New York,Northeast,263,8153939
2008,Philadelphia,Northeast,21,1526145
2008,Phoenix,West,89,1423645
2008,Pittsburgh,Northeast,10,311240
2008,Portland,Northeast,5,574172
2008,Portland,West,58,574172
2008,San Diego,West,58,1289456
2008,San Francisco,West,68,799786
2008,San Jose,West,43,942582
2008,Seattle,West,21,601185
2008,St. Louis,Midwest,13,325092
2008,Taylor,Midwest,6,63560
2008,Tulsa,South,1,392547
2008,Washington,Northeast,2,598479
2008,Washington,South,36,598479
2008,Wichita,Midwest,24,375038
2009,Boston,Northeast,134,617880.7
2009,Chicago,Midwest,27,2717377.7
2009,Cincinnati,Midwest,4,300282
2009,Cleveland,Midwest,5,404141
2009,Cleveland,South,7,404141
2009,Columbus,Midwest,39,782988
2009,Dallas,South,11,1199193
2009,Denver,West,61,598482
2009,Detroit,Midwest,22,735135
2009,Eugene,West,10,154665
2009,Flint,Midwest,9,104292
2009,Grand Rapids,Midwest,8,188983
2009,Houston,South,14,2083964
2009,Kansas City,Midwest,44,458818
2009,Keansburg,Northeast,45,10155
2009,Las Vegas Metropolitan Police Department,West,35,573989
2009,Lincoln,Midwest,67,255893
2009,Los Angeles,West,190,3785315
2009,Memphis,South,35,652088
2009,Mesa,West,8,436533
2009,Milwaukee,Midwest,16,595090
2009,Minneapolis,Midwest,59,383022
2009,New York,Northeast,272,8172147
2009,Philadelphia,Northeast,6,1527219
2009,Phoenix,West,115,1436470
2009,Pittsburgh,Northeast,1,308325
2009,Portland,Northeast,8,579804
