year,party,nn,newdate,pop_2,perc
1991,Democratic,1,1991-01-06,47773,0.020932325790718607
1991,Democratic,3,1991-05-26,47773,0.06279697737215582
1991,Democratic,6,1991-07-06,47773,0.12559395474431165
1991,Democratic,2,1991-11-26,47773,0.041864651581437214
1991,Democratic,7,1991-06-06,47773,0.14652628053503025
1991,Democratic,9,1991-10-26,47773,0.18839093211646746
1991,Democratic,2,1991-03-06,47773,0.041864651581437214
1991,Democratic,5,1991-09-26,47773,0.10466162895359303
1991,Democratic,4,1991-05-06,47773,0.08372930316287443
1991,Democratic,7,1991-04-27,47773,0.14652628053503025
1991,Democratic,1,1991-11-06,47773,0.020932325790718607
1991,Democratic,3,1991-08-27,47773,0.06279697737215582
1991,Democratic,5,1991-10-06,47773,0.10466162895359303
1991,Democratic,4,1991-12-27,47773,0.08372930316287443
1991,Democratic,8,1991-09-06,47773,0.16745860632574885
1991,Democratic,2,1991-02-27,47773,0.041864651581437214
1991,Democratic,5,1991-04-07,47773,0.10466162895359303
1991,Democratic,2,1991-01-27,47773,0.041864651581437214
1991,Democratic,4,1991-08-07,47773,0.08372930316287443
1991,Democratic,6,1991-07-27,47773,0.12559395474431165
1991,Democratic,5,1991-12-07,47773,0.10466162895359303
1991,Democratic,4,1991-06-27,47773,0.08372930316287443
1991,Democratic,4,1991-02-07,47773,0.08372930316287443
1991,Democratic,8,1991-03-27,47773,0.16745860632574885
1991,Democratic,3,1991-01-07,47773,0.06279697737215582
1991,Democratic,7,1991-07-07,47773,0.14652628053503025
1991,Democratic,5,1991-05-22,47773,0.10466162895359303
1991,Democratic,8,1991-06-07,47773,0.16745860632574885
1991,Democratic,8,1991-11-22,47773,0.16745860632574885
1991,Democratic,1,1991-03-07,47773,0.020932325790718607
1991,Democratic,5,1991-10-22,47773,0.10466162895359303
1991,Democratic,3,1991-05-07,47773,0.06279697737215582
1991,Democratic,7,1991-09-22,47773,0.14652628053503025
1991,Democratic,7,1991-11-07,47773,0.14652628053503025
1991,Democratic,3,1991-04-23,47773,0.06279697737215582
1991,Democratic,3,1991-10-07,47773,0.06279697737215582
1991,Democratic,12,1991-08-23,47773,0.2511879094886233
1991,Democratic,10,1991-09-07,47773,0.20932325790718606
1991,Democratic,6,1991-12-23,47773,0.12559395474431165
1991,Democratic,3,1991-04-08,47773,0.06279697737215582
1991,Democratic,2,1991-02-23,47773,0.041864651581437214
1991,Democratic,5,1991-08-08,47773,0.10466162895359303
1991,Democratic,3,1991-01-23,47773,0.06279697737215582
1991,Democratic,3,1991-12-08,47773,0.06279697737215582
1991,Democratic,14,1991-07-23,47773,0.2930525610700605
1991,Democratic,7,1991-02-08,47773,0.14652628053503025
1991,Democratic,5,1991-06-23,47773,0.10466162895359303
1991,Democratic,2,1991-01-08,47773,0.041864651581437214
1991,Democratic,6,1991-03-23,47773,0.12559395474431165
1991,Democratic,8,1991-07-08,47773,0.16745860632574885
1991,Democratic,2,1991-05-23,47773,0.041864651581437214
1991,Democratic,6,1991-06-08,47773,0.12559395474431165
1991,Democratic,4,1991-11-23,47773,0.08372930316287443
1991,Democratic,4,1991-03-08,47773,0.08372930316287443
1991,Democratic,6,1991-10-23,47773,0.12559395474431165
1991,Democratic,2,1991-05-08,47773,0.041864651581437214
1991,Democratic,4,1991-09-23,47773,0.08372930316287443
1991,Democratic,8,1991-11-08,47773,0.16745860632574885
1991,Democratic,4,1991-04-24,47773,0.08372930316287443
1991,Democratic,8,1991-10-08,47773,0.16745860632574885
1991,Democratic,14,1991-08-24,47773,0.2930525610700605
1991,Democratic,9,1991-09-08,47773,0.18839093211646746
1991,Democratic,3,1991-12-24,47773,0.06279697737215582
1991,Democratic,1,1991-04-09,47773,0.020932325790718607
1991,Democratic,1,1991-02-24,47773,0.020932325790718607
1991,Democratic,8,1991-08-09,47773,0.16745860632574885
1991,Democratic,2,1991-01-24,47773,0.041864651581437214
1991,Democratic,7,1991-12-09,47773,0.14652628053503025
1991,Democratic,5,1991-07-24,47773,0.10466162895359303
1991,Democratic,3,1991-02-09,47773,0.06279697737215582
1991,Democratic,3,1991-06-24,47773,0.06279697737215582
1991,Democratic,4,1991-01-09,47773,0.08372930316287443
1991,Democratic,8,1991-07-14,47773,0.16745860632574885
1991,Democratic,5,1991-07-09,47773,0.10466162895359303
1991,Democratic,2,1991-06-14,47773,0.041864651581437214
1991,Democratic,5,1991-06-09,47773,0.10466162895359303
1991,Democratic,10,1991-03-14,47773,0.20932325790718606
1991,Democratic,5,1991-03-09,47773,0.10466162895359303
1991,Democratic,2,1991-05-14,47773,0.041864651581437214
1991,Democratic,5,1991-05-09,47773,0.10466162895359303
